station_id,timestamp,temperature_c,relative_humidity_pct,pressure_hpa,anomaly_type
AWS_AP11,2025-07-04 06:45:00,41.264,72.485,961.296,spike
AWS_AP12,2025-11-10 03:15:00,40.133,83.279,1006.086,spike
AWS_AP13,2025-03-06 12:45:00,50.139,57.273,1009.241,spike
AWS_AP14,2025-07-21 23:30:00,45.836,88.763,1001.505,spike
AWS_AP15,2025-05-16 09:45:00,52.296,70.672,1005.144,spike
AWS_AP16,2025-06-19 11:00:00,46.151,72.034,988.343,spike
AWS_AP17,2025-02-25 20:30:00,43.891,37.711,992.948,spike
AWS_AP18,2025-09-20 00:30:00,36.541,73.137,943.142,spike
AWS_AP19,2025-11-06 17:45:00,45.499,65.678,1008.48,spike
AWS_AP20,2025-12-03 02:15:00,26.77,69.857,935.838,spike
